fof_halo_tag,A1,A0,B1,B0,C1,C0,D1,D0
1027184336548,True,False,True,False,False,True,True,False
1060846597174,True,False,True,False,True,False,True,False
1238337757224,True,False,True,False,False,True,False,True
1295487048486,True,False,True,False,False,True,False,True
1371373345656,True,False,True,False,True,False,True,False
1433921813132,True,False,True,False,False,True,True,False
1137381769640,True,False,True,False,True,False,True,False
1034186661772,False,True,False,False,False,False,False,False
1487923270536,True,False,True,False,True,False,True,False
1364088127486,True,False,True,False,True,False,True,False
1401883943830,True,False,True,False,False,True,False,True
1591413393746,True,False,True,False,True,False,False,True
1564747837210,True,False,True,False,False,True,False,True
1646347831222,True,False,True,False,True,False,True,False
1638101736282,False,True,False,False,False,False,False,False
1859093438138,True,False,True,False,False,True,False,True
1533018365764,True,False,True,False,False,True,True,False
1565088490348,True,False,True,False,True,False,True,False
1667647981018,False,True,False,False,False,False,False,False
1944203867568,True,False,True,False,True,False,True,False
1876562784998,True,False,True,False,True,False,True,False
1576506436902,False,True,False,False,False,False,False,False
1962280787874,False,True,False,False,False,False,False,False
1515224950230,True,False,True,False,True,False,True,False
1773697922570,True,False,True,False,True,False,True,False
1987386489630,True,False,True,False,True,False,True,False
1983902085360,True,False,False,True,False,True,False,True
2002632640858,False,True,False,False,False,False,False,False
1246952602464,True,False,True,False,True,False,True,False
1488581392516,True,False,False,True,False,True,False,True
1249837801228,True,False,False,True,False,True,False,True
1074547382872,True,False,True,False,True,False,True,False
1027871792368,True,False,False,True,False,True,False,True
1301575921640,False,True,False,False,False,False,False,False
1017698780280,True,False,True,False,True,False,True,False
1265684168364,True,False,True,False,False,True,True,False
1288871671364,False,True,False,False,False,False,False,False
1088534114758,True,False,True,False,False,True,True,False
1322219158172,True,False,True,False,False,True,True,False
1718146411100,True,False,True,False,False,True,True,False
1812132230970,True,False,False,True,True,False,False,True
1881049467882,True,False,False,True,False,True,True,False
1619722622106,True,False,False,True,False,True,False,True
1585116243412,True,False,True,False,False,True,True,False
1660367979214,False,True,False,False,False,False,False,False
1795942215180,True,False,True,False,True,False,True,False
2008046180528,True,False,False,True,False,True,False,True
1677205510540,True,False,True,False,False,True,False,True
1689594611786,False,True,False,False,False,False,False,False
1826123523984,True,False,False,True,False,True,False,True
1981398893136,True,False,True,False,True,False,True,False
149955448156,True,False,True,False,True,False,True,False
151866314192,True,False,True,False,False,True,True,False
472551534166,True,False,True,False,False,True,True,False
320148033716,True,False,True,False,False,True,False,True
320470190676,True,False,True,False,True,False,True,False
11545027314,True,False,False,True,False,True,False,True
92516936770,True,False,True,False,False,True,True,False
111879433102,True,False,True,False,True,False,True,False
214440787116,True,False,True,False,True,False,True,False
321129195116,False,True,False,False,False,False,False,False
97259604646,True,False,True,False,True,False,True,False
294434180958,False,True,False,False,False,False,False,False
339833897458,True,False,True,False,True,False,True,False
366832244788,True,False,True,False,True,False,False,True
38845399320,True,False,False,True,True,False,True,False
16622250558,True,False,True,False,False,True,True,False
55995410876,True,False,True,False,True,False,True,False
280798813866,True,False,False,True,False,True,False,True
363358852728,False,True,False,False,False,False,False,False
412891946956,True,False,True,False,False,True,False,True
654503195082,True,False,True,False,False,True,False,True
790068838198,True,False,True,False,False,True,False,True
899614876870,False,True,False,False,False,False,False,False
574185226348,True,False,True,False,True,False,True,False
494177998384,True,False,False,True,True,False,True,False
899650533728,True,False,False,True,False,True,False,True
638943658812,True,False,True,False,False,True,True,False
961228045976,True,False,True,False,True,False,True,False
904065576428,False,True,False,False,False,False,False,False
682466527654,True,False,True,False,True,False,True,False
524338040382,True,False,True,False,False,True,True,False
103640267402,True,False,True,False,False,True,True,False
255102195672,True,False,True,False,True,False,True,False
235725639756,True,False,True,False,False,True,False,True
231609446086,True,False,True,False,False,True,True,False
347492351150,True,False,True,False,True,False,True,False
493547570070,True,False,True,False,True,False,False,True
327817628528,True,False,False,True,False,True,False,True
91279289740,True,False,True,False,False,True,True,False
264327890632,True,False,True,False,False,True,True,False
456734856058,True,False,True,False,False,True,True,False
383392272246,True,False,True,False,True,False,True,False
73801024278,True,False,True,False,True,False,True,False
412261116594,True,False,True,False,False,True,True,False
485954231694,True,False,False,True,True,False,False,True
504988974686,True,False,False,True,True,False,True,False
626287586372,True,False,True,False,False,True,False,True
698980339358,True,False,True,False,False,True,False,True
559923287044,True,False,True,False,True,False,True,False
847580555726,True,False,True,False,True,False,True,False
560878466614,True,False,True,False,False,True,True,False
631371913966,False,True,False,False,False,False,False,False
529143300698,True,False,True,False,False,True,False,True
527222985576,True,False,True,False,False,True,True,False
965084173936,True,False,True,False,True,False,True,False
891741792222,True,False,True,False,False,True,False,True
882863730794,True,False,True,False,True,False,True,False
743125397454,True,False,True,False,True,False,True,False
585308205748,True,False,True,False,True,False,True,False
728515522076,False,True,False,False,False,False,False,False
744713300642,True,False,True,False,True,False,True,False
998101366774,True,False,True,False,False,True,True,False
879675554520,True,False,True,False,False,True,False,True
882852014832,True,False,True,False,True,False,True,False
277592972260,True,False,True,False,False,True,True,False
343319940312,True,False,True,False,False,True,True,False
403013347242,True,False,True,False,False,True,True,False
480490974304,True,False,True,False,True,False,True,False
245218885250,True,False,True,False,False,True,True,False
417002069002,True,False,True,False,True,False,True,False
456374448188,True,False,True,False,True,False,True,False
494141915354,True,False,True,False,True,False,True,False
171885801866,True,False,True,False,False,True,False,True
125847493236,True,False,True,False,False,True,True,False
202058442298,True,False,True,False,True,False,True,False
248092643706,True,False,True,False,False,True,False,True
132203286738,False,True,False,False,False,False,False,False
275403394838,True,False,True,False,True,False,True,False
42637396862,True,False,True,False,False,True,True,False
207110212834,False,True,False,False,False,False,False,False
87411120012,True,False,True,False,False,True,False,True
377619812464,True,False,False,True,False,True,True,False
80450047876,True,False,True,False,False,True,True,False
240795480684,False,True,False,False,False,False,False,False
283964793474,True,False,True,False,False,True,False,True
302064492156,True,False,True,False,False,True,False,True
353507419194,True,False,True,False,True,False,True,False
313504637748,True,False,True,False,False,True,False,True
683392352748,True,False,True,False,False,True,False,True
637352809670,True,False,True,False,True,False,True,False
726889871698,True,False,True,False,False,True,True,False
763095441538,True,False,True,False,False,True,False,True
869132581730,True,False,True,False,True,False,True,False
786288740108,True,False,True,False,False,True,True,False
850754649736,True,False,True,False,False,True,True,False
968230094098,False,True,False,False,False,False,False,False
536382710662,False,True,False,False,False,False,False,False
537659570434,True,False,True,False,True,False,True,False
812306936492,True,False,True,False,False,True,False,True
856145510646,True,False,False,True,False,True,False,True
773580785506,True,False,True,False,True,False,True,False
954253395270,True,False,False,True,False,True,True,False
756443173010,True,False,False,True,False,True,False,True
737716397590,True,False,True,False,False,True,True,False
49019421266,True,False,True,False,False,True,True,False
134764463814,True,False,True,False,False,True,True,False
313520334970,False,True,False,False,False,False,False,False
404011444142,True,False,True,False,False,True,False,True
445923101564,True,False,False,True,False,True,False,True
151603607152,True,False,True,False,True,False,True,False
