fof_halo_tag,delta1,delta2,sod_halo_core_entropy,TPI
1401928771042,0.03748034,0.050465748,216.90718,-1.5269266334867775
1277130786352,0.04334838,0.047652088,152.6145,-1.0944574313837683
1412078046614,0.025153881,0.0668061,131.3528,-0.18484162634958556
1508586837998,0.006290863,0.032970726,307.25745,0.0508053406681388
1516844499972,0.018660985,0.051133964,245.1041,-0.8569805920508191
1682588830586,0.07125521,0.032508936,360.17584,-3.1950328470699634
1754993345132,0.1319857,0.031841118,190.4884,-0.52142225879663
1828642133250,0.08793017,0.021751238,333.11368,2.624988547940841
1808009759610,0.012235199,0.021659648,84.00383,2.0763488721657946
1956291020656,0.045379214,0.021109264,134.76012,-0.5388856998902173
1505428243986,0.029886274,0.052415818,507.42148,-0.8887488018926253
1530831028762,0.038571436,0.05367643,98.65866,-0.25478195728782027
1550841189280,0.051067803,0.02097988,142.61563,1.2242478285548841
1827386392028,0.07354051,0.032765545,70.6449,1.7073050725396475
1778173261906,0.028107306,0.047159035,391.02402,3.394635139893566
1788973981808,0.01973325,0.036922116,205.17624,-0.6470587793199594
1759454701494,0.016848436,0.05997617,108.65812,0.47102475558303925
1826450488876,0.04954569,0.06761336,100.86993,0.2094250805948139
1961399614022,0.036345415,0.05192513,240.55772,0.020028795832921942
1965833806776,0.014574289,0.04452364,202.45076,0.470634782655986
1506691924324,0.04739436,0.04728676,255.48515,-1.2421767839719629
1724492879248,0.03697552,0.099784404,156.25589,-0.02421453654178507
1816577735504,0.062611364,0.012547024,592.1386,0.8547835943310013
1821347491038,0.012149485,0.037166156,249.9144,-1.3024590184341842
1768648873034,0.002912022,0.03498176,160.20645,-0.1033118237552984
1821048115006,0.028201373,0.04630098,231.06693,-1.3923420632178374
1879147093730,0.033431493,0.027628193,167.98195,0.7323755656963478
1199286147560,0.03584633,0.053098824,134.34727,0.09894258896178627
1199285341748,0.02478971,0.018656665,105.303474,1.8327067488556925
1382173358354,0.0062035685,0.051222842,222.13571,0.05341999575216727
1057052987852,0.017906904,0.019911295,184.83339,-0.5517538039750784
1235818335730,0.004052037,0.011549005,158.91643,1.169577710841421
1193260551202,0.02770076,0.037057497,248.90895,-0.3710764273702687
1321220127658,0.046291396,0.09907304,99.51076,-0.5254269466115635
1298050063494,0.012967559,0.03089948,154.78165,-0.6363674889755002
1311394244214,0.028428305,0.026582345,164.75508,-0.27163957954142515
1477134039308,0.059096985,0.05643986,154.96326,-3.0230124601929047
1466663061524,0.055543683,0.12193001,117.935265,0.9957981569328892
1325667651222,0.018493889,0.06713508,209.66524,-0.6083914188542554
1333612908740,0.02373743,0.040929206,93.97406,0.34870757034654376
1027184336548,0.017395804,0.035804756,167.99626,1.2470015603870785
1060846597174,0.014382251,0.023384174,120.001915,2.23153104444626
1238337757224,0.05524525,0.06645527,268.8512,-1.508609407929381
1295487048486,0.012556897,0.05441288,168.96236,-1.7027688557113891
1371373345656,0.017792683,0.038322352,43.34664,1.842282726483407
1433921813132,0.005003683,0.041837256,184.03908,0.5777986661789701
1137381769640,0.0050113876,0.026022408,45.980503,2.8417491240748696
1034186661772,0.0883083,0.057946004,315.27057,-1.7415428822926045
1487923270536,0.010862879,0.03618059,111.6997,4.4161107803641695
1364088127486,0.014989016,0.017362632,83.61571,0.49064431900120054
1401883943830,0.05911503,0.0409147,192.48868,-0.5826555296219353
1591413393746,0.020513918,0.054687712,145.6388,-0.45034752060931366
1564747837210,0.038357638,0.055251505,323.4515,-1.404637816029249
1646347831222,0.013665098,0.026845217,99.9026,0.7252808522963358
1638101736282,0.103060775,0.081867315,85.529945,1.5025943786590865
1859093438138,0.05101101,0.03013117,299.76498,-0.39224473032737694
1533018365764,0.034452613,0.049573407,156.76547,0.36851499168130575
1565088490348,0.008851798,0.01623628,95.97172,1.24233855880241
1667647981018,0.10826634,0.041489974,194.89767,-1.6752491196227088
1944203867568,0.032735143,0.026390012,54.303333,1.6585162164569682
1876562784998,0.028842738,0.02894611,34.14689,2.934042294958809
1576506436902,0.07955153,0.066266306,113.56327,-1.206576909834592
1962280787874,0.07586777,0.06877212,638.49524,-2.0921935516010444
1515224950230,0.012163033,0.022706397,74.425835,2.141959020122936
1773697922570,0.022979919,0.033012822,82.54533,2.4381295787063433
1987386489630,0.012706742,0.046758167,133.23224,1.1918113854695862
1983902085360,0.03844391,0.08710569,347.22015,-3.537547218288653
2002632640858,0.092904486,0.09452219,382.64853,-3.332871034041735
1246952602464,0.014077872,0.03711833,100.29969,2.0333163591509074
1488581392516,0.033290874,0.085747674,323.89066,-1.1121719951643236
1249837801228,0.05208716,0.11066252,379.36658,-3.0593966352693185
1074547382872,0.011374705,0.027123122,72.42546,2.120026759509032
1027871792368,0.02669807,0.115651205,150.31874,-1.034278650263399
1301575921640,0.083781205,0.043414876,285.51443,-2.8842291452851034
1017698780280,0.017357524,0.03685825,69.66873,1.5395643880220236
1265684168364,0.028186888,0.02159003,159.29726,0.844493793500159
1288871671364,0.105163276,0.050658237,168.79074,-2.9629917210322567
1088534114758,0.017358338,0.040437203,224.9997,4.310724732446579
1322219158172,0.03031476,0.051902097,180.59146,0.7535642545273387
1718146411100,0.012966366,0.026545063,237.85645,0.44702575311971393
1812132230970,0.039296024,0.07429796,136.42398,-2.343735405282909
1881049467882,0.01611649,0.0732469,161.56963,0.803366903695985
1619722622106,0.056833465,0.11118262,251.16481,-1.322892274020788
1585116243412,0.06597715,0.04962678,174.75096,0.0798822856372024
1660367979214,0.074585915,0.024712915,160.3419,-1.6223226832541129
1795942215180,0.029796826,0.06289388,76.892105,0.7960179357249372
2008046180528,0.04233461,0.081619434,216.72713,-0.579850661409792
1677205510540,0.023407662,0.032945495,247.30124,-0.9651081140530121
1689594611786,0.12065405,0.050393995,227.61069,-2.334241891486931
1826123523984,0.051218934,0.09743046,271.34018,-1.1407412571864055
1981398893136,0.018955573,0.042269383,90.63654,3.6864267949405933
149955448156,0.023887822,0.015972076,29.229029,4.204044643766144
151866314192,0.009278958,0.039385222,192.10239,0.7616266082985266
472551534166,0.032635223,0.020567033,200.86378,1.238359690946714
320148033716,0.011497285,0.02931029,247.95973,-0.9208533110498853
320470190676,0.018369336,0.027088711,138.223,1.9809947764624067
11545027314,0.05230439,0.085229166,510.32956,-2.0024179438006815
92516936770,0.009303393,0.009759781,198.57712,1.189539782102012
