# Halo group IDs for phase6_stacked_profiles_comprehensive.png
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07 (R1), delta2<0.07 (R2),
#             K_core<150 keV cm2 (R3), TPI>0 (R4)
# Columns: row_index  fof_halo_tag  unique_tag  delta1  delta2  K_core  TPI
#

# ── R1  (4,640 halos) ──────────────────────────────
# Description: All DM-relaxed halos (delta1 < 0.07)
# N = 4,640
#  row_index    fof_halo_tag      unique_tag     delta1     delta2      K_core        TPI
         238   1109741148316   1109741148316    0.02828    0.07254     558.980    -0.5140
         239   1173239126320   1173239126320    0.06447    0.08238     159.825    -0.8735
         240   1318349595452   1318349595452    0.03887    0.06406     166.092    -0.7727
         245   1437097592504   1437097592504    0.02369    0.02560      98.042     1.3329
         246   1200580622846   1200580622846    0.03649    0.06095     164.796    -0.0194
         247   1202794997518   1202794997518    0.02328    0.02811     143.696    -0.0963
         251   1642227454542   1642227454542    0.04328    0.03144     196.103     0.6210
         252   1714624560010   1714624560010    0.06025    0.03968     127.808     0.8790
         256   1769863539246   1769863539246    0.02328    0.02147     114.586     0.9799
         258   1989269406016   1989269406016    0.03612    0.05058     144.851    -1.0055
         261   1711141693260   1711141693260    0.03638    0.03152     269.336    -0.9533
         265   1803225240766   1803225240766    0.01924    0.05447     161.086    -0.8367
         270   1664458040660   1664458040660    0.03075    0.05798     286.298    -1.1939
         271   1877179153456   1877179153456    0.02009    0.04329     132.569     0.6858
         274   1882279430986   1882279430986    0.03590    0.02540      52.391     2.2939
         276   1093264456506   1093264456506    0.06836    0.04435     293.305    -0.5830
         278   1164098556374   1164098556374    0.04586    0.06726     226.652    -0.3713
         279   1388901053880   1388901053880    0.00428    0.00358      59.472     4.4950
         280   1007219812782   1007219812782    0.05059    0.02884     135.328    -0.7965
         282   1174232485426   1174232485426    0.03498    0.02077      53.945     3.6511
         283   1143765836686   1143765836686    0.02501    0.03183     188.805    -2.4940
         285   1295533315782   1295533315782    0.02824    0.04568      59.830     2.7970
         286   1427623651096   1427623651096    0.01775    0.02881     123.117    -0.4995
         287   1006930517362   1006930517362    0.06421    0.09093     138.988    -0.0905
         288   1144412771458   1144412771458    0.05472    0.01602      88.902     1.2945
         289   1272051728820   1272051728820    0.01467    0.03486     127.600     0.6209
         292   1628284546594   1628284546594    0.02414    0.00851     238.281    -1.5741
         293   1600032524900   1600032524900    0.04244    0.05687     198.336     0.8186
         296   1948997562856   1948997562856    0.02618    0.02414     145.737     0.7589
         298   1793721136680   1793721136680    0.02963    0.01355      89.766     1.9916
         300   1984229633948   1984229633948    0.03250    0.03504     273.681    -2.3300
         301   1878824787626   1878824787626    0.06353    0.03893      46.656     2.2498
         302   1746735485586   1746735485586    0.03103    0.06682     215.743    -1.5608
         305   1563855431726   1563855431726    0.02493    0.03748     129.992     2.7092
         309   1855031603324   1855031603324    0.05137    0.04193      51.165     2.0530
         310   1783887266676   1783887266676    0.06065    0.05968     107.379     0.6988
         315    472878201750    472878201750    0.06319    0.02907     157.469    -2.1536
         316    463355298594    463355298594    0.05995    0.03250     406.844    -2.7724
         317    403666251250    403666251250    0.01846    0.03166     102.417     1.7934
         318    214439526404    214439526404    0.05376    0.02715      97.293     0.1999
         322    373516038094    373516038094    0.03186    0.05496     198.943     1.2584
         325    204261475286    204261475286    0.04212    0.03917     227.404     1.1368
         327    353176314008    353176314008    0.01696    0.01807     114.924     0.8790
         329    456062848220    456062848220    0.01810    0.01787     241.160    -0.3474
         330    410653809294    410653809294    0.01049    0.03399     135.162     0.9256
         331    302063230332    302063230332    0.05056    0.05927     145.155     2.6872
         335    523678580066    523678580066    0.05393    0.02495      96.360     1.2504
         336    952641220270    952641220270    0.06105    0.03631      98.317     0.0474
         339    605627090406    605627090406    0.02264    0.03644     166.994    -1.1636
         341    557647526452    557647526452    0.02584    0.02801     167.192     0.2701
         343    852308631594    852308631594    0.04545    0.02304     136.351     0.1679
         347    161429487602    161429487602    0.05479    0.01012      43.979     3.3578
         351    381158189986    381158189986    0.06725    0.05611      81.809    -0.3400
         352    466243370404    466243370404    0.05385    0.02679     146.701     1.0953
         357     93496990170     93496990170    0.03759    0.01618     122.810     1.6896
         360     26804386144     26804386144    0.02988    0.03448     143.634    -0.1925
         362    354477995062    354477995062    0.04789    0.04310     123.755     1.7371
         363    430992931606    430992931606    0.06939    0.03812     148.503    -0.1993
         364    337025231458    337025231458    0.06538    0.03478     139.593    -0.9303
         365    379886701350    379886701350    0.04586    0.04980     216.327    -2.1594
         366     77938562802     77938562802    0.05357    0.02399     122.254     0.3992
         367    218928807908    218928807908    0.03130    0.02419     150.380     0.4558
         370    658658499172    658658499172    0.06803    0.02738      49.970     3.8956
         371    663426087074    663426087074    0.06633    0.11099     193.103    -1.6620
         374    748846553120    748846553120    0.03485    0.04315     131.623    -0.4010
         375    983172481308    983172481308    0.05232    0.03264      84.734     3.2457
         377    563109523470    563109523470    0.06460    0.02149     172.440     0.7073
         382    573252298566    573252298566    0.01050    0.01390     116.578     0.9069
         384    715499646488    715499646488    0.00905    0.05979     100.206     0.6573
         386    519911283008    519911283008    0.02746    0.02488     103.918     2.1948
         388    841562192918    841562192918    0.06653    0.01616     202.453     0.0514
         389    798069990602    798069990602    0.05868    0.02325     110.510    -0.1506
         390    901901147438    901901147438    0.04552    0.02363     214.361     1.0365
         391    902221565336    902221565336    0.02248    0.02824      69.831     3.1871
         396    291266190074    291266190074    0.04250    0.02600     208.912     0.0498
         400    152820515948    152820515948    0.06010    0.07384     187.282    -0.8997
         402    250298829636    250298829636    0.04598    0.05847     332.763     0.1409
         403    404601074398    404601074398    0.03136    0.02545      70.527     1.5473
         405    383344900470    383344900470    0.03419    0.02555     102.979     0.9298
         406    169655604024    169655604024    0.02472    0.03765     156.783     1.9218
         409    316682130698    316682130698    0.05882    0.02096     143.972     0.2345
         412    942497820188    942497820188    0.05007    0.06741     197.759    -0.4096
         413    725328403936    725328403936    0.02078    0.03673     104.210     0.0279
         416    832970682004    832970682004    0.05989    0.04694     103.177     3.4486
         419    549075749934    549075749934    0.02483    0.01135     805.628     2.3443
         420    813574521038    813574521038    0.04951    0.08514      86.651     0.1613
         426    767547351228    767547351228    0.06132    0.01847     154.150     2.2739
         427    746593249338    746593249338    0.04914    0.03392     233.863    -1.7996
         428    972990401656    972990401656    0.05656    0.03671     183.316    -0.6829
         429    836784099718    836784099718    0.01891    0.02991     129.276     0.8273
         431     78561558108     78561558108    0.05806    0.03038     108.761     0.7713
         433    367508764654    367508764654    0.03220    0.01859      76.034     2.8705
         434    388763655292    388763655292    0.03849    0.00653     148.535     1.0338
         436    126494353630    126494353630    0.02964    0.02059     172.811     0.9536
         439    232253764578    232253764578    0.03277    0.01640     262.202    -0.2716
         441    357667033392    357667033392    0.01881    0.01925      66.713     4.0227
         444    610406373530    610406373530    0.04491    0.02757     160.749    -1.6143
         446    756141326260    756141326260    0.02636    0.02681     102.560     0.3581
         447    759342607078    759342607078    0.05011    0.11526     691.927    -2.8751
         448    848235657562    848235657562    0.02324    0.04166     191.165     1.1464
         450    868562910622    868562910622    0.05135    0.05958     155.647    -0.8405
         451    502122756458    502122756458    0.06671    0.00620     156.670     2.3983
         453    944443336932    944443336932    0.05843    0.08741     141.720     1.4168
         457   1005675426662   1005675426662    0.01649    0.03798     170.086     1.5285
         462   1369547373778   1369547373778    0.05813    0.03407      89.273     1.6770
         463   1387649819886   1387649819886    0.02660    0.05782     149.787     0.7396
         464   1154610148574   1154610148574    0.02741    0.02167     155.329    -1.0621
         469   1312100622774   1312100622774    0.02651    0.02437     109.769     1.6450
         470   1088546585624   1088546585624    0.03315    0.03974     191.484    -0.6665
         472   1064735508546   1064735508546    0.01271    0.02311      91.572     1.1001
         474   1241600701056   1241600701056    0.04642    0.02658     136.021    -3.6667
         475   1103493008516   1103493008516    0.04499    0.03505      97.700    -0.5965
         476   1079360884016   1079360884016    0.01495    0.03106     133.017     2.5995
         477   1340679137514   1340679137514    0.01331    0.02346     330.292    -1.7297
         481   1934422183146   1934422183146    0.03725    0.03895     157.638    -0.2541
         483   1713770125190   1713770125190    0.06564    0.03409     258.022     0.7644
         484   1654394566294   1654394566294    0.04781    0.00807     147.098     1.6321
         485   1551203792442   1551203792442    0.05340    0.03439     148.559    -1.1471
         486   1923322590160   1923322590160    0.05486    0.02373     219.022    -0.0325
         489   1550851372152   1550851372152    0.04539    0.04895     173.637    -2.6009
         490   1730578376718   1730578376718    0.05355    0.05607     135.976     1.3411
         491   1681683724004   1681683724004    0.03906    0.02667     138.054     0.9954
         494   1829962413966   1829962413966    0.01691    0.03982     118.888     1.6775
         498   1805840016466   1805840016466    0.04079    0.01089     120.814     1.0350
         500   1056838583400   1056838583400    0.03002    0.04399     144.981    -0.1347
         501   1198134378136   1198134378136    0.02245    0.06492     128.329    -0.7833
         503   1452462681874   1452462681874    0.06560    0.01965     212.138    -0.3804
         504   1467378965660   1467378965660    0.05480    0.06851     169.506     1.1402
         506   1483579592610   1483579592610    0.04070    0.02634     215.448     1.9727
         509   1180363187956   1180363187956    0.00954    0.01481     170.698    -0.1297
         510   1230212517806   1230212517806    0.05852    0.02387     175.047     0.5015
         511   1052082513424   1052082513424    0.02137    0.01332      28.938     3.2334
         513   1061604157416   1061604157416    0.02711    0.03389     958.784    -2.0924
         514   1448970921556   1448970921556    0.01230    0.04042     191.383    -0.2110
         515   1450875033860   1450875033860    0.02842    0.01712      88.558    -0.0747
         517   1433736312254   1433736312254    0.03880    0.04256     145.785     0.3781
         519   1178777454284   1178777454284    0.02885    0.03241      72.238     1.4803
         522   1908106049464   1908106049464    0.06130    0.02757      56.553     1.5503
         523   1857310711808   1857310711808    0.04938    0.01871      90.103     1.8992
         525   1970026229844   1970026229844    0.04489    0.02143     173.796    -0.3603
         532   1798561248126   1798561248126    0.05282    0.04786     241.913    -0.4740
         535   1005674320326   1005674320326    0.02131    0.02417     137.988     0.7196
         536   1011388471228   1011388471228    0.04945    0.01855      93.429     2.2992
         537   1129824690912   1129824690912    0.06481    0.02554     125.152     0.4145
         539   1160304898514   1160304898514    0.05007    0.03452     147.384     0.8110
         541   1482904612490   1482904612490    0.04668    0.04961     156.801     0.2604
         542   1308915319974   1308915319974    0.03078    0.04805     168.285     0.8952
         543   1334299810244   1334299810244    0.01143    0.03000     215.070    -1.3070
         544   1381618656674   1381618656674    0.04340    0.02184     154.419     0.1728
         547   1422900767158   1422900767158    0.02981    0.02638     190.243    -0.3481
