# Full shortlist: 30 extreme halos per group (32 groups total)
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07 (R1), delta2<0.07 (R2), K_core<150 keV cm2 (R3), TPI>0 (R4)
# N per group: 30
#
# SECTION 1: Individual criteria (8 groups)
# SECTION 2: Pairwise criteria (24 groups: pairs {R1,R2},{R1,R3},{R1,R4},{R2,R3},{R2,R4},{R3,R4})
#

# ── R1  (group size: 4,640; showing 30 extreme) ─────────────────
# DM-relaxed (delta1 < 0.07); sorted by smallest delta_1
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     2      4687   2460415866554   2460415866554   0.03305   0.03767     18.563    5.0742
     3      7153   3479448242070   3479448242070   0.03746   0.05161     18.889    3.4894
     4      5557   1745831900138   1745831900138   0.02228   0.01963     20.044    6.0239
     5      6766   3711961374390   3711961374390   0.07892   0.05875     22.857    4.8332
     6       753     73083312422     73083312422   0.13054   0.02674     22.902    4.5298
     7       461   1098082441320   1098082441320   0.27822   0.02037     24.716    4.4542
     8      2476   3095654549152   3095654549152   0.04399   0.00603     25.105    3.5853
     9      5669     54984151246     54984151246   0.10530   0.02367     26.462    4.6381
    10      9779   2312134472674   2312134472674   0.02968   0.03121     27.018    3.0196
    11      3675   1479249385762   1479249385762   0.53786   0.01712     27.553    3.9737
    12      4346   3214247078500   3214247078500   0.05728   0.04186     27.634    4.2670
    13      9036   3846354363344   3846354363344   0.02248   0.01352     27.983    4.8539
    14      5925   1831518964418   1831518964418   0.03857   0.02209     28.084    3.7570
    15      7463   3305216954866   3305216954866   0.01775   0.00841     28.301    4.6313
    16       836   1466990212812   1466990212812   0.02225   0.01603     28.303    5.0978
    17      9964   3863859374356   3863859374356   0.05423   0.03920     28.389    3.9129
    18       511   1052082513424   1052082513424   0.02137   0.01332     28.938    3.2334
    19      3065   1489725447410   1489725447410   0.06162   0.01359     29.037    3.5743
    20      4224   3465969119150   3465969119150   0.01051   0.02061     29.059    3.2943
    21      9174   2212466020590   2212466020590   0.06031   0.03805     29.093    4.1841
    22      7776   1139810558314   1139810558314   0.12082   0.10226     30.102   30.8990
    23      1944   2055332446874   2055332446874   0.03225   0.01306     30.376    3.7916
    24      5073    724642871514    724642871514   0.16764   0.02114     31.328    3.4205
    25      5301   1681015460350   1681015460350   0.10106   0.01544     31.622    3.4952
    26      8315   1589373420440   1589373420440   0.02808   0.01461     32.193    3.8095
    27      1455   3937605464178   3937605464178   0.07536   0.00979     32.249    3.0921
    28      8138    741597337774    741597337774   0.03493   0.01805     32.621    4.7050
    29      6225   1579502078476   1579502078476   0.02262   0.04562     32.719    3.1321
    30      2923    796616786580    796616786580   0.02684   0.02330     32.834    3.8441

# ── notR3  (group size: 4,988; showing 30 extreme) ─────────────────
# Non-cool-core by entropy (K_core >= 150); sorted by largest K_core
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      9170   2256273700578   2256273700578   0.04033   0.03207  14947.758    1.4660
     2       680    439198258862    439198258862   0.11000   0.04965  12489.795   -0.3601
     3      7383   3893872368326   3893872368326   0.00546   0.05905   7502.251   -0.4533
     4      8319   1827202856594   1827202856594   0.05608   0.04884   7466.273    1.4486
     5       211   1025325229616   1025325229616   0.06596   0.05033   4836.527   -1.3082
     6      5528   1707452248812   1707452248812   0.20192   0.04954   4690.412   -1.5271
     7      5121    938610256280    938610256280   0.05816   0.02965   4583.049   -2.5769
     8      5762    845603058018    845603058018   0.04537   0.02330   4550.075    3.2366
     9      4680   2150819074378   2150819074378   0.10027   0.06637   4314.443   -1.3193
    10      2302   2815866962594   2815866962594   0.08947   0.02556   4223.056    1.4908
    11      1752   3918598011648   3918598011648   0.05974   0.04176   4084.690    2.8937
    12      1019    192835878034    192835878034   0.03680   0.07456   3876.563    1.0381
