# Shortlist: 30 extreme halos per group
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07, delta2<0.07, K_core<150 keV cm2, TPI>0
# N per group: 30
#

# ── R1  (30 halos) ──────────────────────────────
# Selection: smallest delta_1 (most DM-relaxed)
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     9      7948    513715019072    513715019072   0.04511   0.01249     87.467    7.6767
    10      8018   1284039704436   1284039704436   0.02888   0.02210    283.927    7.4410
    11      4120   2911002167414   2911002167414   0.03029   0.04114    134.541    7.4249
    12      4929   3499327979624   3499327979624   0.03321   0.06109     64.362    6.9539
    13      6276   2617654476112   2617654476112   0.05206   0.03331     86.077    6.8962
    14      3943   3299234148616   3299234148616   0.01900   0.05733    113.585    6.7086
    15      1189   1374640330498   1374640330498   0.05614   0.03157    100.086    6.7080
    16      7399   3028596376062   3028596376062   0.03164   0.04340     71.984    6.7070
    17      5928   3997982137096   3997982137096   0.02696   0.01331    374.409    6.5164
    18      5557   1745831900138   1745831900138   0.02228   0.01963     20.044    6.0239
    19      3078   1586253318014   1586253318014   0.05066   0.02764     89.091    6.0132
    20         1    123835673828    123835673828   0.03895   0.06038     77.523    6.0010
    21      6679   2159922685504   2159922685504   0.06290   0.10639     89.784    5.9973
    22      6916   2251901504944   2251901504944   0.03516   0.05022     65.106    5.8941
    23      4739   2653482214998   2653482214998   0.05670   0.01803    121.413    5.8855
    24      9884   3131680980394   3131680980394   0.06560   0.05162    185.358    5.8432
    25      8176    697811202984    697811202984   0.03236   0.02762    116.490    5.7895
    26      7562    266589658074    266589658074   0.01344   0.02458     86.428    5.5965
    27      7553    231961908460    231961908460   0.02158   0.02545    114.997    5.5090
    28      9630   3990143175912   3990143175912   0.06397   0.04474    169.499    5.5072
    29      7078   3576598219084   3576598219084   0.04551   0.05234    141.555    5.4438
    30      2141   3894722480674   3894722480674   0.04349   0.00679     50.413    5.4232

# ── R1_notR2  (30 halos) ──────────────────────────────
# Selection: largest delta_2 (most gas-displaced within R1)
